Date;Brand;Film.Code;Ratecard.Duration;Metric;Value
2017-12-16;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;Cost;32558,91934
2017-12-16;Nivea od 2007;Nivea kosmetyki do pielegnacji twarzy/ swiateczna cena wygraj szczoteczki/ hebe 101217;10;TRP;0,56
2018-03-09;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;338253,3268
2018-03-09;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;8,17
2018-03-10;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;312579,45
2018-03-10;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;10,89
2018-03-10;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;39448,89916
2018-03-10;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;2,56
2018-03-11;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;627578,1692
2018-03-11;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;20,74
2018-03-11;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;65172,1488
2018-03-11;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,13
2018-03-12;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;224004,5751
2018-03-12;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;11,85
2018-03-12;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;2962,3704
2018-03-12;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0
2018-03-13;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;551494,6228
2018-03-13;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;23,53
2018-03-13;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;8146,5186
2018-03-13;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,06
2018-03-14;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;218326,6985
2018-03-14;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;12,83
2018-03-14;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;4690,4198
2018-03-14;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0
2018-03-15;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;576872,2626
2018-03-15;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;23,04
2018-03-16;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;259454,2742
2018-03-16;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;9,74
2018-03-16;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;3456,0988
2018-03-16;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0
2018-03-17;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;286164,9806
2018-03-17;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;11,17
2018-03-17;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;84625,04776
2018-03-17;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,5
2018-03-18;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;221535,9331
2018-03-18;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;14,98
2018-03-18;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;50557,78816
2018-03-18;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,27
2018-03-19;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;213932,5157
2018-03-19;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;10
2018-03-19;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;29574,33116
2018-03-19;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;2,26
2018-03-20;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;685739,3748
2018-03-20;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;27,67
2018-03-20;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;15256,20756
2018-03-20;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0,72
2018-03-21;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;620912,8358
2018-03-21;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;20,28
2018-03-21;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;5184,1482
2018-03-21;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0
2018-03-22;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;Cost;2962,3704
2018-03-22;Nivea od 2007;Nivea invisible for black&white kobiety wieszak/impreza 2op nr1 podzielony obraz/promocyjna cena hebe 300318;30;TRP;0
2018-03-23;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;28389,383
2018-03-23;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,51
2018-03-24;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;77268,4946
2018-03-24;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;2,71
2018-03-25;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;44238,06464
2018-03-25;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,29
2018-03-26;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;2962,3704
2018-03-26;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;0,03
2018-03-27;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;Cost;4394,18276
2018-03-27;Ronney;Ronney lakiery do wlosow blondynka 9 op/ dostepne w hebe 300318;30;TRP;1,14
